reg_departure,Адыгея,Алтай,Алтайский,Амурская,Архангельская,Астраханская,Башкортостан,Белгородская,Брянская,Бурятия,Владимирская,Волгоградская,Вологодская,Воронежская,Дагестан,Еврейская,Забайкальский,Ивановская,Ингушетия,Иркутская,Кабардино-Балкарская,Калининградская,Калмыкия,Калужская,Камчатский,Карелия,Кемеровская,Кировская,Коми,Костромская,Краснодарский,Красноярский,Крым,Курганская,Курская,Ленинградская,Липецкая,Магаданская,Марий Эл,Мордовия,Москва,Московская,Мурманская,Ненецкий,Нижегородская,Новгородская,Новосибирская,Омская,Оренбургская,Орловская,Пензенская,Пермский,Приморский,Псковская,Ростовская,Рязанская,Самарская,Санкт-Петербург,Саратовская,Саха /Якутия/,Сахалинская,Свердловская,Севастополь,Северная Осетия - Алания,Смоленская,Ставропольский,Тамбовская,Татарстан,Тверская,Томская,Тульская,Тыва,Тюменская,Удмуртская,Ульяновская,Хабаровский,Хакасия,Ханты-Мансийский Автономный округ - Югра,Челябинская,Чеченская,Чувашская Республика,Чукотский,Ямало-Ненецкий,Ярославская
Адыгея,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Алтай,0.0,0.0,1988.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Алтайский,0.0,19479.0,147620.0,87.0,81.0,0.0,165.0,212.0,0.0,0.0,0.0,209.0,0.0,278.0,83.0,0.0,121.0,0.0,0.0,713.0,0.0,2331.0,0.0,0.0,0.0,0.0,52727.0,0.0,0.0,0.0,1830.0,3138.0,455.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,9947.0,0.0,363.0,0.0,209.0,0.0,161884.0,2801.0,51.0,0.0,68.0,0.0,0.0,0.0,236.0,0.0,71.0,1797.0,54.0,0.0,0.0,1751.0,0.0,161.0,0.0,328.0,0.0,816.0,0.0,31423.0,0.0,0.0,1799.0,0.0,0.0,0.0,1195.0,913.0,68.0,75.0,0.0,0.0,131.0,0.0
Амурская,0.0,0.0,0.0,9285.0,0.0,0.0,2495.0,0.0,0.0,854.0,0.0,0.0,0.0,79.0,75.0,886.0,2313.0,0.0,0.0,1537.0,0.0,0.0,0.0,24.0,0.0,0.0,214.0,24.0,0.0,0.0,946.0,615.0,1392.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,10092.0,0.0,0.0,0.0,47.0,0.0,1530.0,361.0,398.0,0.0,54.0,111.0,3861.0,0.0,158.0,0.0,125.0,743.0,0.0,2277.0,374.0,1971.0,0.0,0.0,0.0,167.0,0.0,253.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,9141.0,0.0,63.0,153.0,0.0,32.0,0.0,58.0,0.0
Архангельская,0.0,0.0,84.0,0.0,13816.0,223.0,295.0,284.0,0.0,0.0,283.0,262.0,4288.0,441.0,408.0,0.0,0.0,0.0,0.0,2319.0,0.0,939.0,0.0,942.0,75.0,372.0,0.0,1086.0,3544.0,0.0,4452.0,1678.0,1032.0,0.0,0.0,361.0,123.0,0.0,0.0,49.0,28158.0,0.0,2991.0,1505.0,552.0,0.0,4640.0,189.0,93.0,0.0,0.0,358.0,136.0,0.0,551.0,78.0,144.0,22226.0,0.0,1038.0,65.0,340.0,0.0,0.0,101.0,1024.0,28.0,219.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,497.0,0.0,170.0,456.0,108.0,0.0,0.0,276.0,3284.0
Астраханская,2923.0,0.0,0.0,0.0,0.0,24048.0,487.0,0.0,0.0,0.0,0.0,123728.0,0.0,9950.0,2596.0,0.0,0.0,0.0,0.0,189.0,66.0,130.0,6720.0,0.0,0.0,114.0,0.0,0.0,80.0,0.0,38606.0,279.0,16964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59055.0,0.0,106.0,0.0,491.0,0.0,131.0,151.0,96.0,0.0,0.0,164.0,81.0,0.0,34032.0,173.0,1319.0,4032.0,2063.0,112.0,0.0,601.0,3944.0,1974.0,0.0,20088.0,259.0,2129.0,85.0,0.0,0.0,0.0,335.0,0.0,112.0,84.0,0.0,443.0,160.0,535.0,66.0,0.0,228.0,0.0
Башкортостан,0.0,0.0,123.0,3438.0,1204.0,535.0,15002.0,602.0,0.0,178.0,112.0,1436.0,0.0,1009.0,985.0,340.0,784.0,117.0,53.0,1286.0,0.0,1138.0,0.0,26.0,0.0,0.0,227.0,0.0,4946.0,0.0,10233.0,1249.0,1627.0,738.0,0.0,0.0,215.0,0.0,0.0,286.0,61763.0,0.0,596.0,0.0,1522.0,50.0,2390.0,956.0,13722.0,0.0,796.0,42058.0,1110.0,0.0,3670.0,322.0,9783.0,12935.0,1725.0,408.0,450.0,77901.0,0.0,69.0,16.0,2209.0,148.0,107177.0,0.0,157.0,91.0,0.0,3685.0,10677.0,1006.0,4596.0,0.0,25152.0,12986.0,132.0,1017.0,0.0,10450.0,106.0
Белгородская,0.0,0.0,266.0,0.0,123.0,0.0,399.0,19266.0,0.0,0.0,0.0,4089.0,0.0,15537.0,985.0,0.0,0.0,0.0,0.0,206.0,0.0,473.0,0.0,0.0,54.0,82.0,0.0,0.0,246.0,0.0,4319.0,1472.0,12365.0,0.0,17411.0,22.0,7740.0,134.0,0.0,0.0,144514.0,0.0,1175.0,60.0,230.0,175.0,104.0,376.0,17.0,1862.0,233.0,0.0,0.0,0.0,8287.0,3060.0,891.0,9061.0,75.0,0.0,0.0,104.0,0.0,113.0,5115.0,75.0,324.0,501.0,462.0,80.0,1344.0,0.0,115.0,0.0,132.0,0.0,0.0,1420.0,455.0,49.0,0.0,0.0,588.0,0.0
Брянская,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.0,0.0,0.0,0.0,0.0,0.0,0.0,3428.0,0.0,0.0,0.0,44.0,0.0,308.0,0.0,0.0,0.0,88721.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0,0.0,0.0,4797.0,192.0,0.0,0.0,0.0,0.0,0.0,282.0,230.0,37.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бурятия,0.0,0.0,0.0,821.0,0.0,0.0,287.0,0.0,0.0,1093.0,0.0,0.0,0.0,0.0,0.0,37.0,18464.0,0.0,0.0,22419.0,0.0,128.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,42.0,583.0,2692.0,87.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6325.0,0.0,0.0,0.0,159.0,0.0,2375.0,313.0,28.0,0.0,0.0,33.0,634.0,0.0,47.0,0.0,0.0,613.0,0.0,568.0,0.0,301.0,0.0,0.0,0.0,105.0,0.0,48.0,0.0,224.0,0.0,0.0,108.0,0.0,0.0,840.0,0.0,82.0,169.0,0.0,0.0,0.0,0.0,0.0
