,conf,date,day,month,year
0,1,02.03.2020,2,3,2020
1,1,03.03.2020,3,3,2020
2,1,04.03.2020,4,3,2020
3,1,05.03.2020,5,3,2020
4,7,06.03.2020,6,3,2020
5,11,07.03.2020,7,3,2020
6,14,08.03.2020,8,3,2020
7,17,09.03.2020,9,3,2020
8,20,10.03.2020,10,3,2020
9,28,11.03.2020,11,3,2020
10,34,12.03.2020,12,3,2020
11,45,13.03.2020,13,3,2020
12,59,14.03.2020,14,3,2020
13,63,15.03.2020,15,3,2020
14,91,16.03.2020,16,3,2020
15,114,17.03.2020,17,3,2020
16,147,18.03.2020,18,3,2020
17,199,19.03.2020,19,3,2020
18,253,20.03.2020,20,3,2020
19,306,21.03.2020,21,3,2020
20,367,22.03.2020,22,3,2020
21,438,23.03.2020,23,3,2020
22,495,24.03.2020,24,3,2020
23,658,25.03.2020,25,3,2020
24,840,26.03.2020,26,3,2020
25,1036,27.03.2020,27,3,2020
26,1264,28.03.2020,28,3,2020
27,1534,29.03.2020,29,3,2020
28,1836,30.03.2020,30,3,2020
29,2337,31.03.2020,31,3,2020
30,2777,01.04.2020,1,4,2020
31,3548,02.04.2020,2,4,2020
32,4149,03.04.2020,3,4,2020
33,4731,04.04.2020,4,4,2020
34,5389,05.04.2020,5,4,2020
35,6343,06.04.2020,6,4,2020
36,7497,07.04.2020,7,4,2020
37,8672,08.04.2020,8,4,2020
38,10131,09.04.2020,9,4,2020
39,11917,10.04.2020,10,4,2020
40,13584,11.04.2020,11,4,2020
41,15759,12.04.2020,12,4,2020
42,18328,13.04.2020,13,4,2020
43,21102,14.04.2020,14,4,2020
44,24490,15.04.2020,15,4,2020
45,27938,16.04.2020,16,4,2020
46,32008,17.04.2020,17,4,2020
47,36793,18.04.2020,18,4,2020
48,42853,19.04.2020,19,4,2020
49,47121,20.04.2020,20,4,2020
50,52763,21.04.2020,21,4,2020
51,57999,22.04.2020,22,4,2020
52,62773,23.04.2020,23,4,2020
53,68622,24.04.2020,24,4,2020
54,74588,25.04.2020,25,4,2020
55,80949,26.04.2020,26,4,2020
56,87147,27.04.2020,27,4,2020
57,93558,28.04.2020,28,4,2020
58,99399,29.04.2020,29,4,2020
59,106498,30.04.2020,30,4,2020
60,114431,01.05.2020,1,5,2020
61,124054,02.05.2020,2,5,2020
62,134687,03.05.2020,3,5,2020
63,145268,04.05.2020,4,5,2020
64,155370,05.05.2020,5,5,2020
65,165929,06.05.2020,6,5,2020
66,177160,07.05.2020,7,5,2020
67,187859,08.05.2020,8,5,2020
68,198676,09.05.2020,9,5,2020
69,209688,10.05.2020,10,5,2020
70,221344,11.05.2020,11,5,2020
71,232243,12.05.2020,12,5,2020
72,242271,13.05.2020,13,5,2020
73,252245,14.05.2020,14,5,2020
74,262843,15.05.2020,15,5,2020
75,272043,16.05.2020,16,5,2020
76,281752,17.05.2020,17,5,2020
77,290678,18.05.2020,18,5,2020
78,299941,19.05.2020,19,5,2020
79,308705,20.05.2020,20,5,2020
80,317554,21.05.2020,21,5,2020
81,326448,22.05.2020,22,5,2020
82,335882,23.05.2020,23,5,2020
83,344481,24.05.2020,24,5,2020
84,353427,25.05.2020,25,5,2020
85,362342,26.05.2020,26,5,2020
86,370680,27.05.2020,27,5,2020
87,379051,28.05.2020,28,5,2020
88,387623,29.05.2020,29,5,2020
89,396575,30.05.2020,30,5,2020
90,405843,31.05.2020,31,5,2020
