reg,lat,long
Адыгея,44.6098268,40.1006527
Алтай,51.958268100000005,85.9602957
Алтайский,53.3481145,83.7798362
Амурская,50.2905935,127.5272186
Архангельская,64.5392985,40.5170083
Астраханская,46.3655808,48.0559979
Башкортостан,54.734853,55.9578647
Белгородская,50.5977351,36.585823600000005
Брянская,53.2420071,34.3652716
Бурятия,51.8334378,107.5841511
Владимирская,56.1281561,40.4082995
Волгоградская,48.7072005,44.5170207
Вологодская,59.2484186,39.8356461
Воронежская,51.6592378,39.1968284
Дагестан,42.98485720000001,47.504630299999995
Еврейская,48.794597499999995,132.9217594
Забайкальский,52.0340128,113.4994884
Ивановская,56.999467700000004,40.9728231
Ингушетия,43.1686967,44.8130849
Иркутская,52.2863513,104.28065500000001
Кабардино-Балкарская,43.4846312,43.6070316
Калининградская,54.7073218,20.5072458
Калмыкия,46.308294700000005,44.2701417
Калужская,54.5060439,36.251593299999996
Камчатский,53.0370213,158.6559142
Карачаево-Черкесская,44.2268637,42.0467829
Карелия,61.78909,34.359626299999995
Кемеровская,55.3909721,86.0467864
Кировская,58.60353129999999,49.667921899999996
Коми,61.668789000000004,50.835649100000005
Костромская,57.802944499999995,40.9907282
Краснодарский,45.040234999999996,38.976080100000004
Красноярский,56.009466,92.85241620000001
Крым,44.9482645,34.100117
Курганская,55.444344799999996,65.3161339
Курская,51.7303391,36.1926448
Ленинградская,60.0190094,30.645583399999996
Липецкая,52.6103027,39.5946266
Магаданская,59.56817629999999,150.8085289
Марий Эл,56.63437629999999,47.8998445
Мордовия,54.1807601,45.186226299999994
Москва,55.7538789,37.6203735
Московская,55.831847499999995,37.32942
Мурманская,69.0076958,33.0686019
Ненецкий,67.6381525,53.0069336
Нижегородская,56.3242093,44.0053948
Новгородская,58.5214003,31.275505100000004
Новосибирская,55.02810160000001,82.92105749999999
Омская,54.9848136,73.3674638
Оренбургская,51.7875191,55.101737899999996
Орловская,52.9672573,36.0696479
Пензенская,53.175388399999996,45.0347408
Пермский,58.0103211,56.23417779999999
Приморский,43.1163807,131.882348
Псковская,57.819283999999996,28.3318188
Ростовская,47.2224364,39.7187866
Рязанская,54.625457,39.7359992
Самарская,53.195165700000004,50.1067691
Санкт-Петербург,59.939125,30.315822499999996
Саратовская,51.530376000000004,45.953025700000005
Сахалинская,46.959133,142.73812519999998
Свердловская,56.8386326,60.6054887
Севастополь,44.616733399999994,33.5253552
Северная Осетия - Алания,43.0205039,44.6819383
Смоленская,54.786716799999994,31.815336600000006
Ставропольский,45.0445439,41.96901679999999
Тамбовская,52.72130210000001,41.452258
Татарстан,55.794387699999994,49.1115312
Тверская,56.85853960000001,35.9117898
Томская,56.484703599999996,84.94817370000001
Тульская,54.19201700000001,37.6153885
Тыва,51.7191542,94.43772340000001
Тюменская,57.1530824,65.5343118
Удмуртская,56.8527444,53.2113961
Ульяновская,54.3080674,48.3748717
Хабаровский,48.4647991,135.0598811
Хакасия,53.722366099999995,91.4437792
Ханты-Мансийский Автономный округ - Югра,61.002434400000006,69.0183322
Челябинская,55.160365899999995,61.4007858
Чеченская,43.317924299999994,45.6981102
Чувашская,56.1439378,47.248871799999996
Чукотский,64.73143470000001,177.5015752
Саха /Якутия/,62.02802729999999,129.7325717
Ямало-Ненецкий,66.5493568,66.6083994
Ярославская,57.6216145,39.897878000000006
