;Территория, тысяч кв.       км1);Районы;Города;Городские районы (округа);Поселки городского типа;Сельские админист-рации2);Сельские населенные пункты;в том числе без населения3);
Белгородская область;27,1;21;10;2;20;335;1577;34;
Брянская область;34,9;27;16;4;28;420;2688;98;
Владимирская область;29,0;16;23;3;32;227;2476;252;
Воронежская область;52,4;32;15;6;21;493;1872;125;
Ивановская область;21,8;21;17;4;31;205;3015;378;
Калужская область;29,9;24;19;3;10;329;3189;270;
Костромская область;60,1;24;12;-;8;274;3598;789;
Курская область;29,8;28;10;3;23;479;2771;49;
Липецкая область;24,1;18;8;4;2;303;1587;47;
Московская область;44,3;39;76;-;109;471;6228;353;
Орловская область;24,7;24;7;4;13;223;3054;199;
Рязанская область;39,6;25;12;4;26;482;2751;196;
Смоленская область;49,8;25;15;3;15;405;4894;488;
Тамбовская область;34,3;23;8;3;12;309;1753;94;
Тверская область;84,1;36;23;4;31;614;9509;1411;
Тульская область;25,7;23;21;5;49;341;3368;284;
Ярославская область;36,4;17;11;6;13;226;6024;1029;
Москва;2,6;-;2;10;3;-;-;-;
Карелия республика;172,4;16;13;-;11;131;775;94;
Коми республика;415,9;12;10;1;31;190;729;17;
Ненецкий автономный округ;176,7;-;1;-;2;17;43;-;
Архангельская область;587,4;21;14;9;35;243;3957;547;
Вологодская область;145,7;26;15;-;12;369;8041;1625;
Калининградская область;15,1;13;22;5;5;98;1079;4;
Ленинградская область;83,9;17;31;-;34;204;2908;137;
Мурманская область;144,9;5;16;3;16;15;135;29;
Новгородская область;55,3;21;10;-;18;272;3793;460;
Псковская область;55,3;24;14;-;14;247;8393;1073;
Санкт-Петербург ;1,4;-;1;20;-;-;-;-;
Адыгея республика;7,6;7;2;-;5;50;224;4;
Дагестан республика;50,3;41;10;3;19;701;1605;46;
Ингушетия республика;3,1;4;4;6;-;32;41;-;
Чеченская республика;16,2;15;5;4;3;213;324;27;
Кабардино-Балкарская республика;12,5;9;8;-;4;115;168;-;
Калмыкия республика;76,1;13;3;-;-;112;262;1;
Карачаево-Черкесская республика;14,1;8;4;-;7;80;139;-;
Северная Осетия - Алания республика;8,0;8;6;4;7;96;209;26;
Краснодарский край;76,0;38;26;11;21;390;1719;11;
Ставропольский край;66,5;26;19;3;7;284;736;5;
Астраханская область;44,1;11;6;4;9;151;427;8;
Волгоградская область;113,9;33;19;8;25;449;1509;56;
Ростовская область;100,8;43;23;8;25;454;2276;23;
Башкортостан республика;143,6;54;21;7;40;945;4586;84;
Марий Эл республика;23,2;14;4;-;16;180;1612;53;
Мордовия республика;26,2;22;7;3;18;422;1313;29;
Татарстан республика;68,0;43;20;7;21;910;3081;36;
Удмуртская республика;42,1;25;6;5;10;313;2059;149;
Чувашская республика;18,3;21;9;3;8;350;1723;14;
Кировская область;120,8;39;18;4;54;564;4557;773;
Нижегородская область;76,9;48;28;8;69;540;4853;426;
Оренбургская область;124,0;35;12;7;4;606;1742;27;
Пензенская область;43,2;28;11;4;16;376;1490;46;
Пермский край;160,6;33;25;7;44;519;3961;342;
Самарская область;53,6;27;11;12;24;331;1314;63;
Саратовская область;100,2;38;18;6;30;614;1752;55;
Ульяновская область;37,3;21;6;4;33;326;980;49;
Курганская область;71,0;24;9;-;6;420;1230;14;
Свердловская область;194,8;30;47;12;97;431;1796;128;
Тюменская область;1435,2;38;28;3;41;429;1606;63;
Ханты-Мансийский Автономный округ - Югра;523,1;9;16;-;24;70;173;4;
Ямало-Ненецкий;750,3;7;7;-;9;42;102;19;
Челябинская область;87,9;24;30;10;30;257;1260;24;
Алтай республика;92,6;10;1;-;-;90;243;1;
Бурятия республика;351,3;21;6;3;29;226;611;5;
Тыва республика;170,5;17;5;-;2;112;389;46;
Хакасия республика;61,9;8;5;-;12;79;254;1;
Алтайский край;169,1;60;12;5;14;726;1620;16;
Красноярский край ;2339,7;48;25;7;46;511;1649;31;
Иркутская область;767,9;33;22;7;55;365;1503;39;
Кемеровская область;95,5;19;20;14;46;235;1066;25;
Новосибирская область;178,2;30;14;10;18;428;1566;43;
Омская область;139,7;32;6;5;24;359;1524;23;
Томская область;316,9;16;6;4;1;132;606;28;
Саха /Якутия/;3103,2;33;13;-;55;364;590;39;
Приморский край;165,9;24;12;5;46;226;606;4;
Хабаровский край;788,6;17;7;7;24;186;431;10;
Амурская область;363,7;20;9;-;21;289;608;6;
Камчатский край;472,3;11;4;-;7;24;83;10;
Магаданская область;461,4;8;2;-;28;31;89;37;
Сахалинская область;87,1;17;18;-;30;60;217;30;
Еврейская автономная область;36,0;5;2;-;12;47;98;3;
Чукотский автономный округ;737,7;8;3;-;13;44;57;16;
Забайкальский край;431,9;-;-;-;-;-;-;-;
Крым республика;26,1;-;-;-;-;-;-;-;
Севастополь;0,9;-;-;-;-;-;-;-;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
