Регион;Все население;Городское население;Сельское население;Все население;Городское население;Сельское население;;;;;;
Белгородская область;1549151  ;1045518  ;503633  ;1548284  ;1044655  ;503629  ;;;;;;
Брянская область;1192491  ;839822  ;352669  ;1196339  ;842487  ;353852  ;;;;;;
Владимирская область;1358416  ;1062867  ;295549  ;1362110  ;1065852  ;296258  ;;;;;;
Воронежская область;2324205  ;1579415  ;744790  ;2326013  ;1579010  ;747003  ;;;;;;
Ивановская область;997135  ;814778  ;182357  ;1000658  ;817121  ;183537  ;;;;;;
Калужская область;1002575  ;760520  ;242055  ;1005978  ;763642  ;242336  ;;;;;;
Костромская область;633385  ;460694  ;172691  ;635326  ;461111  ;174215  ;;;;;;
Курская область;1104008  ;756464  ;347544  ;1105524  ;755691  ;349833  ;;;;;;
Липецкая область;1139371  ;736408  ;402963  ;1141703  ;737340  ;404363  ;;;;;;
Московская область;7690863  ;6258082  ;1432781  ;7645255  ;6224733  ;1420522  ;;;;;;
Орловская область;733498  ;489801  ;243697  ;736483  ;491837  ;244646  ;;;;;;
Рязанская область;1108847  ;800626  ;308221  ;1111492  ;802165  ;309327  ;;;;;;
Смоленская область;934889  ;671357  ;263532  ;938626  ;674188  ;264438  ;;;;;;
Тамбовская область;1006748  ;618017  ;388731  ;1011357  ;619503  ;391854  ;;;;;;
Тверская область;1260379  ;959646  ;300733  ;1265007  ;962238  ;302769  ;;;;;;
Тульская область;1466127  ;1096983  ;369144  ;1472472  ;1101748  ;370724  ;;;;;;
Ярославская область;1253389  ;1022743  ;230646  ;1256501  ;1025232  ;231269  ;;;;;;
Москва;12678079  ;12480481  ;197598  ;12646679  ;12456506  ;190173  ;;;;;;
Карелия республика;614064  ;497337  ;116727  ;616060  ;498083  ;117977  ;;;;;;
Коми республика;820473  ;641721  ;178752  ;825354  ;645586  ;179768  ;;;;;;
Ненецкий автономный округ;44111  ;32538  ;11573  ;43970  ;32323  ;11647  ;;;;;;
Архангельская область;1092424  ;860768  ;231656  ;1096357  ;862364  ;233993  ;;;;;;
Вологодская область;1160445  ;843041  ;317404  ;1164079  ;845356  ;318723  ;;;;;;
Калининградская область;1012512  ;786313  ;226199  ;1007349  ;782682  ;224667  ;;;;;;
Ленинградская область;1875872  ;1260249  ;615623  ;1861870  ;1224552  ;637318  ;;;;;;
Мурманская область;741404  ;683407  ;57997  ;744730  ;686688  ;58042  ;;;;;;
Новгородская область;596508  ;426582  ;169926  ;598402  ;427408  ;170994  ;;;;;;
Псковская область;626115  ;443751  ;182364  ;627883  ;445768  ;182115  ;;;;;;
Санкт-Петербург ;5398064  ;5398064  ; -   ;5390977  ;5390977  ; -   ;;;;;;
Адыгея республика;463088  ;218981  ;244107  ;458916  ;216566  ;242350  ;;;;;;
Калмыкия республика;271135  ;124462  ;146673  ;271891  ;124345  ;147546  ;;;;;;
Крым республика;1912622  ;975208  ;937414  ;1912220  ;975045  ;937175  ;;;;;;
Краснодарский край;5675462  ;3141509  ;2533953  ;5661848  ;3128977  ;2532871  ;;;;;;
Астраханская область;1005782  ;670980  ;334802  ;1009924  ;674020  ;335904  ;;;;;;
Волгоградская область;2491036  ;1925215  ;565821  ;2499272  ;1929478  ;569794  ;;;;;;
Ростовская область;4197821  ;2862889  ;1334932  ;4200071  ;2863275  ;1336796  ;;;;;;
Севастополь;449138  ;418773  ;30365  ;446175  ;415668  ;30507  ;;;;;;
Дагестан республика;3110858  ;1409430  ;1701428  ;3098492  ;1403073  ;1695419  ;;;;;;
Ингушетия республика;507061  ;282147  ;224914  ;502227  ;279019  ;223208  ;;;;;;
Кабардино-Балкарская республика;868350  ;452093  ;416257  ;867285  ;451548  ;415737  ;;;;;;
Карачаево-Черкесская республика;465528  ;199631  ;265897  ;465546  ;199548  ;265998  ;;;;;;
Северная Осетия - Алания республика;696837  ;448301  ;248536  ;698045  ;449087  ;248958  ;;;;;;
Чеченская республика;1478726  ;545408  ;933318  ;1467838  ;540145  ;927693  ;;;;;;
Ставропольский край;2803573  ;1655560  ;1148013  ;2799408  ;1647451  ;1151957  ;;;;;;
Башкортостан республика;4038151  ;2521840  ;1516311  ;4044578  ;2521352  ;1523226  ;;;;;;
Марий Эл республика;679417  ;455525  ;223892  ;679899  ;454468  ;225431  ;;;;;;
Мордовия республика;790197  ;504534  ;285663  ;792851  ;504398  ;288453  ;;;;;;
Татарстан республика;3902888  ;3002176  ;900712  ;3900758  ;3000326  ;900432  ;;;;;;
Удмуртская республика;1500955  ;992177  ;508778  ;1504172  ;993268  ;510904  ;;;;;;
Чувашская республика;1217818  ;771935  ;445883  ;1220606  ;771293  ;449313  ;;;;;;
Пермский край;2599260  ;1972991  ;626269  ;2605030  ;1976890  ;628140  ;;;;;;
Кировская область;1262402  ;981619  ;280783  ;1267255  ;982464  ;284791  ;;;;;;
Нижегородская область;3202946  ;2552560  ;650386  ;3208785  ;2555133  ;653652  ;;;;;;
