,date,conf,recov,deaths,deaths_day,conf_day,recov_day,region,population,density,city_pop_fraction,index
0,20.04.2020,100,16,2,0,9,1,Адыгея,463088.0,60.932631578947365,0.47287124693362814,2.260204081632654
1,20.04.2020,4,0,0,0,2,0,Алтай,220181.0,2.3777645788336934,0.2927773059437463,1.5214285714285716
2,20.04.2020,84,4,0,0,12,0,Алтайский,2317153.0,13.702856298048491,0.5694764221438982,2.186734693877552
3,20.04.2020,20,4,0,0,4,0,Амурская,790044.0,2.1722408578498764,0.6773686022550642,1.8414965986394545
4,20.04.2020,114,11,1,1,7,0,Архангельская,1092424.0,1.8597616615594144,0.7879431429554825,2.49829931972789
5,20.04.2020,136,9,3,0,13,0,Астраханская,1005782.0,22.806848072562357,0.6671226965684413,2.329591836734694
6,20.04.2020,297,14,14,4,45,0,Башкортостан,4038151.0,28.120828690807798,0.6245036404037393,2.395447409733117
7,20.04.2020,112,11,2,0,22,0,Белгородская,1549151.0,57.16424354243542,0.6748974115499393,2.1680272108843526
8,20.04.2020,321,30,1,0,42,0,Брянская,1192491.0,34.16879656160459,0.7042585646348694,2.4178571428571423
9,20.04.2020,115,37,2,0,0,0,Бурятия,985937.0,2.8065385710219184,0.5923025507714996,2.285714285714286
10,20.04.2020,259,11,5,0,34,0,Владимирская,1358416.0,46.841931034482755,0.7824311551100693,2.346326530612245
11,20.04.2020,111,25,1,0,18,2,Волгоградская,2491036.0,21.870377524143986,0.7728571566207795,2.22295918367347
12,20.04.2020,100,13,0,0,7,0,Вологодская,1160445.0,7.964619080301991,0.7264807896970559,2.337244897959183
13,20.04.2020,180,28,5,0,24,0,Воронежская,2324205.0,44.3550572519084,0.6795506420474958,2.341836734693877
14,20.04.2020,331,28,9,0,39,0,Дагестан,3110858.0,61.846083499005964,0.45306793174101806,2.6897959183673468
15,20.04.2020,22,4,0,0,2,0,Еврейская,158305.0,4.3973611111111115,0.6865291683774991,2.056122448979592
16,20.04.2020,43,4,0,0,9,0,Забайкальский,1059700.0,2.453577216948368,0.681835425120317,2.5500000000000003
17,20.04.2020,203,12,2,1,20,0,Ивановская,997135.0,45.7401376146789,0.8171190460669819,2.2904761904761908
18,20.04.2020,308,22,5,0,39,0,Ингушетия,507061.0,163.56806451612903,0.5564360106574948,2.008163265306123
19,20.04.2020,65,12,2,0,10,0,Иркутская,2391193.0,3.1139380127620786,0.7807316264308234,2.208333333333333
20,20.04.2020,152,8,0,0,16,0,Кабардино-Балкарская,868350.0,69.468,0.5206345367651293,2.315816326530612
21,20.04.2020,138,35,1,0,12,5,Калининградская,1012512.0,67.05377483443709,0.7765962279953226,2.440816326530614
22,20.04.2020,77,9,3,0,3,0,Калмыкия,271135.0,3.5628777923784494,0.4590406992826452,2.4989795918367332
