reg_departure,Адыгея,Алтай,Алтайский,Амурская,Архангельская,Астраханская,Башкортостан,Белгородская,Брянская,Бурятия,Владимирская,Волгоградская,Вологодская,Воронежская,Дагестан,Еврейская,Забайкальский,Ивановская,Ингушетия,Иркутская,Кабардино-Балкарская,Калининградская,Калмыкия,Калужская,Камчатский,Карелия,Кемеровская,Кировская,Коми,Костромская,Краснодарский,Красноярский,Крым,Курганская,Курская,Ленинградская,Липецкая,Магаданская,Марий Эл,Мордовия,Москва,Московская,Мурманская,Ненецкий,Нижегородская,Новгородская,Новосибирская,Омская,Оренбургская,Орловская,Пензенская,Пермский,Приморский,Псковская,Ростовская,Рязанская,Самарская,Санкт-Петербург,Саратовская,Саха /Якутия/,Сахалинская,Свердловская,Севастополь,Северная Осетия - Алания,Смоленская,Ставропольский,Тамбовская,Татарстан,Тверская,Томская,Тульская,Тыва,Тюменская,Удмуртская,Ульяновская,Хабаровский,Хакасия,Ханты-Мансийский Автономный округ - Югра,Челябинская,Чеченская,Чувашская Республика,Чукотский,Ямало-Ненецкий,Ярославская
Адыгея,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01605094496078499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010976315516705248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Алтай,0.0,0.0,0.009028935285060926,0.0,0.0,0.0,0.00030883682061576614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005481853565929848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022345252315140725,0.0,0.0,0.0,0.0,0.0,0.003810501360244526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001966563872450393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Алтайский,0.0,0.008406436691923235,0.06370748931986796,3.754607485996824e-05,3.495669038686699e-05,0.0,7.12080730102846e-05,9.149158471624447e-05,0.0,0.0,0.0,9.019689247969383e-05,0.0,0.0001199748139203583,3.5819818544567404e-05,0.0,5.221925354087538e-05,0.0,0.0,0.00030770518822019954,0.0,0.0010059758677998388,0.0,0.0,0.0,0.0,0.02275507918553501,0.0,0.0,0.0,0.0007897622642958837,0.0013542480794319581,0.00019636165587684541,0.0,0.0,0.0,3.279886999261594e-05,0.0,0.0,0.0,0.004292767892323036,0.0,0.00015665776062262612,0.0,9.019689247969383e-05,0.0,0.06986331934058734,0.0012088109848594373,2.2009768021360697e-05,0.0,2.934635736181426e-05,0.0,0.0,0.0,0.00010184912260864949,0.0,3.064104959836489e-05,0.0007755206496938269,2.3304460257911325e-05,0.0,0.0,0.0007556687020667172,0.0,6.948181669488377e-05,0.0,0.00014155301786286878,0.0,0.00035215628834177115,0.0,0.01356103804971014,0.0,0.0,0.0007763837778515273,0.0,0.0,0.0,0.0005157190742260007,0.00039401800399024145,2.934635736181426e-05,3.236730591376573e-05,0.0,0.0,5.653489432937747e-05,0.0
Амурская,0.0,0.0,0.0,0.011752509986785547,0.0,0.0,0.0031580519565998855,0.0,0.0,0.001080952453281083,0.0,0.0,0.0,9.999443068993626e-05,9.493142154107873e-05,0.0011214565264719434,0.002927685040326868,0.0,0.0,0.0019454612654485066,0.0,0.0,0.0,3.037805489314519e-05,0.0,0.0,0.00027087098946387795,3.037805489314519e-05,0.0,0.0,0.0011974016637048062,0.0007784376566368456,0.0017619271838024211,0.0,0.0,0.0,0.0001037916875515794,0.0,0.0,0.0,0.012773972082567553,0.0,0.0,0.0,5.9490357499076e-05,0.0,0.001936600999438006,0.00045693657568439226,0.0005037694103113245,0.0,6.835062350957669e-05,0.0001404985038807965,0.004887069580934733,0.0,0.00019998886137987252,0.0,0.00015821903590179786,0.0009404539494002865,0.0,0.00288211795798715,0.00047339135541817924,0.002494797758099549,0.0,0.0,0.0,0.00021138063196480197,0.0,0.0003202353286652389,0.0,0.0,0.0,0.0,0.0002746682463255211,0.0,0.0,0.011570241657426676,0.0,7.974239409450613e-05,0.0001936600999438006,0.0,4.050407319086026e-05,0.0,7.341363265843421e-05,0.0
Архангельская,0.0,0.0,7.689322094717802e-05,0.0,0.01264710405483585,0.0002041331937050083,0.0002700416688025895,0.00025997231844045903,0.0,0.0,0.0002590569229529926,0.0002398336177161981,0.003925215850255945,0.0004036894099726846,0.00037348135888629324,0.0,0.0,0.0,0.0,0.0021228021354345933,0.0,0.0008595563627309542,0.0,0.0008623025491933535,6.865466155998038e-05,0.00034052712133750263,0.0,0.000994119499388516,0.0032441616075809393,0.0,0.004075340710200435,0.0015360336279686276,0.0009446881430653299,0.0,0.0,0.0003304577709753722,0.00011259364495836781,0.0,0.0,4.4854378885853845e-05,0.025775706136079032,0.0,0.0027379479030120173,0.0013776702086369394,0.0005052983090814556,0.0,0.004247435061844119,0.00017300974713115055,8.513178033437566e-05,0.0,0.0,0.00032771158451297297,0.00012449378629543107,0.0,0.0005043829135939891,7.140084802237959e-05,0.0001318169501951623,0.02034558010442832,0.0,0.0009501805159901284,5.950070668531633e-05,0.0003112344657385777,0.0,0.0,9.24549442341069e-05,0.0009373649791655987,2.563107364905934e-05,0.0002004716117551427,0.0,0.0,0.0,0.0,0.0001839944929807474,0.0,0.0,0.0004549515572708033,0.0,0.00015561723286928886,0.0004174203422846807,9.886271264637174e-05,0.0,0.0,0.0002526491545407278,0.003006158780839674
Астраханская,0.0029061963725737785,0.0,0.0,0.0,0.0,0.023909753803508117,0.00048420035355574073,0.0,0.0,0.0,0.0,0.12301671734033816,0.0,0.00989279983137499,0.002581076217311505,0.0,0.0,0.0,0.0,0.0001879134842341581,6.56205817960552e-05,0.00012925266111344207,0.006681368328325621,0.0,0.0,0.00011334464128409536,0.0,0.0,7.954009914673359e-05,0.0,0.03838406334573496,0.0002773960957742334,0.01686647802406486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587155069388794,0.0,0.000105390631369422,0.0,0.00048817735851307736,0.0,0.00013024691235277624,0.00015013193713945964,9.54481189760803e-05,0.0,0.0,0.00016305720325080386,8.053435038606776e-05,0.0,0.033836358177020465,0.00017200546440481138,0.00131141738468177,0.004008820996995373,0.0020511403067463925,0.00011135613880542703,0.0,0.000597544994839836,0.003921326887933966,0.001962651946445651,0.0,0.019972518895744803,0.00025751107098754997,0.0021167608885424476,8.451135534340443e-05,0.0,0.0,0.0,0.00033307416517694687,0.0,0.00011135613880542703,8.351710410407026e-05,0.0,0.00044045329902503725,0.00015908019829346718,0.0005319244130437808,6.56205817960552e-05,0.0,0.0002266892825681907,0.0
Башкортостан,0.0,0.0,3.0459485046497766e-05,0.0008513797527630839,0.00029815626012994563,0.00013248637804777483,0.003715066623313492,0.00014907813006497281,0.0,4.4079579985988634e-05,2.7735466058599592e-05,0.0003556082969656162,0.0,0.0002498668326172052,0.00024392351846179105,8.419695053503448e-05,0.00019414826241019714,2.8973656507644216e-05,1.312481875987302e-05,0.00031846258349427746,0.0,0.00028181214620255656,0.0,6.438590335032048e-06,0.0,0.0,5.621384638662596e-05,0.0,0.0012248179921949427,0.0,0.0025340805730147287,0.00030929997417134724,0.00040290717211912086,0.00018275691027898658,0.0,0.0,5.324218930891886e-05,0.0,0.0,7.082449368535252e-05,0.01529487134086863,0.0,0.00014759230152611925,0.0,0.0003769051726891837,1.2381904490446246e-05,0.0005918550346433306,0.00023674201385733224,0.0033980898683580677,0.0,0.00019711991948790424,0.010415162781183764,0.00027487827968790667,0.0,0.0009088317895987545,7.973946491847383e-05,0.0024226434326007126,0.003203198691678444,0.0004271757049203955,0.00010103634064204138,0.00011143714041401621,0.01929125483420506,0.0,1.708702819681582e-05,3.962209436942799e-06,0.0005470325403879151,3.665043729172089e-05,0.026541107551451146,0.0,3.8879180100001215e-05,2.253506617261217e-05,0.0,0.0009125463609458884,0.0026440318848898916,0.0002491239183477785,0.001138144660761819,0.0,0.0062285932348740795,0.0032158282342586992,3.268822785477809e-05,0.00025184793733567666,0.0,0.0025878180385032657,2.624963751974604e-05
Белгородская,0.0,0.0,0.00017170695432530464,0.0,7.939832850380628e-05,0.0,0.00025756043148795696,0.012436489406132779,0.0,0.0,0.0,0.002639510286602145,0.0,0.01002936447124909,0.0006358321428963349,0.0,0.0,0.0,0.0,0.0001329760623722284,0.0,0.00030532853156341763,0.0,0.0,3.485780275776861e-05,5.293221900253752e-05,0.0,0.0,0.00015879665700761257,0.0,0.002787978705755604,0.0009501978825821369,0.007981791316663127,0.0,0.011239059329916838,1.4201327049461286e-05,0.004996285061946834,8.649899202853692e-05,0.0,0.0,0.09328593532844764,0.0,0.0007584799674144096,3.8730891953076235e-05,0.0001484684191534589,0.00011296510152980568,6.71335460519988e-05,0.00024271358957261106,1.0973752720038267e-05,0.0012019486802771324,0.0001504049637511127,0.0,0.0,0.0,0.005349381693585713,0.001975275489606888,0.0005751537455031821,0.005849010199780396,4.8413614941345294e-05,0.0,0.0,6.71335460519988e-05,0.0,7.294317984496024e-05,0.0033018085389997487,4.8413614941345294e-05,0.00020914681654661166,0.00032340294780818657,0.000298227868038687,5.164118927076831e-05,0.0008675719797489076,0.0,7.423420957672945e-05,0.0,8.520796229676771e-05,0.0,0.0,0.0009166311095561375,0.0002937092639774948,3.163022842834559e-05,0.0,0.0,0.0003795627411401471,0.0
Брянская,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025744429098416673,0.0,0.0,0.0,0.0,0.0006222269182744356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001745925126478942,0.0,0.0,0.0,0.0,0.0,0.0,0.0028746548191977968,0.0,0.0,0.0,3.6897553105222595e-05,0.0,0.0002582828717365582,0.0,0.0,0.0,0.07439972293291941,0.0,0.0,0.0,0.0,4.192903761957113e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005593333618450789,0.0,0.0,0.004022671869221654,0.00016100750445915315,0.0,0.0,0.0,0.0,0.0,0.00023647977217438118,0.00019287357305002722,3.1027487838482636e-05,0.0,0.0003899400498620115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бурятия,0.0,0.0,0.0,0.000832710406445848,0.0,0.0,0.0002910936499999493,0.0,0.0,0.0011085901026130472,0.0,0.0,0.0,0.0,0.0,3.752775278744991e-05,0.018727362904526354,0.0,0.0,0.022738775398428095,0.0,0.0001298257393727997,0.0,0.0,0.0,0.0,0.0002839938048779993,0.0,0.0,4.259907073169989e-05,0.0005913156722995485,0.0027303975811841935,8.824093222994978e-05,2.3328062543549943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.006415217199476234,0.0,0.0,0.0,0.0001612679106271496,0.0,0.002408876023518744,0.00031746450331004923,2.839938048779993e-05,0.0,0.0,3.3470698432049916e-05,0.0006430431153308984,0.0,4.767038867594988e-05,0.0,0.0,0.0006217435799650484,0.0,0.0005761017184667986,0.0,0.00030529334024384925,0.0,0.0,0.0,0.00010649767682924974,0.0,4.868465226479988e-05,0.0,0.00022719504390239945,0.0,0.0,0.00010954046759579972,0.0,0.0,0.000851981414633998,0.0,8.31696142856998e-05,0.0001714105465156496,0.0,0.0,0.0,0.0,0.0
